responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
24	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	Yes	Research Scientist	Other	Very likely	Likely	Not very likely	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Agree	Strongly agree	Monthly	Quarterly	Quarterly	No	Yes	1-5 members	65 or over
27	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Student	Other	Likely	I don't know	Very likely	Likely	Very likely	Very likely	Likely	Not very likely	Likely	Very likely	Agree	Neither agree nor disagree	Monthly	Never	Weekly	Not applicable	No	1-5 members	25 - 34
36	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	No	Yes	No	Yes	Yes	No	Associate professor/Lecturer	Other	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Strongly agree	Strongly agree	Daily	Weekly	Daily	Yes	Yes	1-5 members	45 - 54
107	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Principal Investigator	Biology	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Likely	Likely	Likely	Agree	Agree	Weekly	Quarterly	Monthly	No	Yes	6-10 members	35 - 44
112	08/10/2015	08/10/2015	Yes	1	0	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology	Not very likely	Likely	Not very likely	Very likely	Very likely	Very likely	Not very likely	Likely	Not very likely	Not very likely	Disagree	Agree	Weekly	Monthly	Weekly	No	No	6-10 members	18 - 24
114	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Other	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Agree	Agree	Daily	Monthly	Weekly	No	Yes	1-5 members	25 - 34
117	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	I am unsure	70%	I am unsure	Yes	I can't remember	No	No	No	No	PhD Student	Biology	I don't know	Likely	I don't know	I don't know	I don't know	Likely	Likely	Likely	I don't know	I don't know	Agree	Agree	Weekly	Monthly	Monthly	Not applicable	Not applicable	1-5 members	25 - 34
145	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	Yes	Post-doctoral Fellow	Other	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Strongly agree	Agree	Daily	Weekly	Weekly	No	No	1-5 members	25 - 34
179	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Laboratory Director/Head	Earth and Environmental Science	Likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Strongly disagree	Neither agree nor disagree	Weekly	Weekly	Quarterly	No	Yes	11-25 members	45 - 54
180	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Not at all likely	Likely	Not very likely	Neither agree nor disagree	Agree	Daily	Weekly	Daily	No	Yes	6-10 members	25 - 34
188	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	0	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Likely	Strongly agree	Agree	Weekly	Monthly	Monthly	No	No	6-10 members	25 - 34
190	08/10/2015	08/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology	Not very likely	Not very likely	Very likely	Very likely	Very likely	Very likely	Not at all likely	Not at all likely	Very likely	Not very likely	Disagree	Strongly disagree	Never	Quarterly	Quarterly	No	Yes	6-10 members	35 - 44
